Kansas Bowling,
Kardeisha Provo,
Karen Arthur,
Karen Boswall,
Karen Chapman,
Karen Cho,
Karen Gaviola,
Karen Johnson,
Karen Knox,
Karen Lam,
Karen Moncrieff,
Kari Skogland,
Karin Albou,
Karin Lee,
Karyn Kusama,
Kasi Lemmons,
Kasia Adamik,
Kat Candler,
Kat Lehmer,
Kate Drummond,
Kate Maberly,
Kate Woods,
Katell Quillévéré,
Katerina Cizek,
Katharina Mückstein,
Katharine O'Brien,
Katherena Vermette,
Katherine Barrell,
Katherine Brooks,
Katherine Dieckmann,
Katherine Helmond,
Katherine Jerkovic,
Katherine Stenholm,
Kathleen Hepburn,
Kathleen Jayme,
Kathleen Shannon,
Kathryn Bigelow,
Kathryn Foster,
Kathy Bates,
Kathy Burke,
Kathy Kolla,
Kátia Lund,
Katie Aselton,
Katie Jacobs,
Katja Blichfeld,
Katja von Garnier,
Katrin Gebbe,
Katrin Ottarsdóttir,
Katrina del Mar,
Katrina Holden Bronson,
Katy Garretson,
Kay Armatage,
Kay Cannon,
Kay Mellor,
Kei Fujiwara,
Kelley Kali,
Kelly Fremon Craig,
Kelly Fyffe-Marshall,
Kelly Oxford,
Kelly Reichardt,
Kim Fields,
Kim Friedman,
Kim Friedman,
Kim Longinotto,
Kim Moses,
Kim O. Nguyen,
Kim O'Bomsawin,
Kim Wayans,
Kimberly Peirce,
Kinuyo Tanaka,
Kira Muratova,
Kirsten Carthew,
Kirsten Johnson,
Kirsten Sheridan,
Kristin Hanggi,
Kristina Wagenbauer,
Kristine Peterson,
Kyllikki Forssell,
Ky?ko Aizome,
Laetitia Masson,
Lana Gogoberidze,
Larisa Shepitko,
Larissa Corriveau,
Larysa Artiugina,
Larysa Kondracki,
Latesha Auger,
Laura Bari,
Laura de Jonge,
Laura Innes,
Laura Mañá,
Laura Mora,
Laura Neri,
Laura Parnes,
Laura Poitras,
Laura Wandel,
Laurel Nakadate,
Lauren Greenfield,
Lauren Lazin,
Laurence Ferreira Barbosa,
Laurie Anderson,
Laurie Colbert,
Léa Mysius,
Léa Pool,
Lea Thompson,
Leah Cameron,
Leah Gilliam,
Leah Meyerhoff,
Leanna Creel,
Leanne Pooley,
Lee Burgess,
Lee Filipovski,
Lee Grant,
Lee Rose,
Lee Shallat-Chemel,
Leila Djansi,
Leilah Weinraub,
Lela Swift,
Lena Dunham,
Leni Riefenstahl,
Leonie Krippendorff,
Leontine Sagan,
Lesley Ann Patten,
Lesli Linka Glatter,
Leslie Libman,
Leslye Headland,
Lexi Alexander,
Lexie Findarle Trivundza,
Leyla Bouzid,
Li Yu,
Lidia Bobrova,
Liliana Cavani,
Lilibet Foster,
Lillian Gish,
Lily Nottage,
Lilyan Chauvin,
Lina Rodriguez,
Lina Wertmüller,
Linda Day,
Linda Mendoza,
Linda Ohama,
Linda Yellen,
Lindalee Tracey,
Lindsey Pollard,
Lisa Azuelos,
Lisa Bonet,
Lisa Cholodenko,
Lisa Connor,
